Hour,Mini_Hydro_Generation_MW
7140,288.7186618
7141,288.7186618
7142,288.7186618
7143,288.7186618
7144,288.7186618
7145,288.7186618
7146,288.7186618
7147,288.7186618
7148,288.7186618
7149,288.7186618
7150,288.7186618
7151,288.7186618
7152,288.7186618
7153,288.7186618
7154,288.7186618
7155,288.7186618
7156,288.7186618
7157,288.7186618
7158,288.7186618
7159,288.7186618
7160,288.7186618
7161,288.7186618
7162,288.7186618
7163,288.7186618
7164,288.7186618
7165,288.7186618
7166,288.7186618
7167,288.7186618
7168,288.7186618
7169,288.7186618
7170,288.7186618
7171,288.7186618
7172,288.7186618
7173,288.7186618
7174,288.7186618
7175,288.7186618
7176,288.7186618
7177,288.7186618
7178,288.7186618
7179,288.7186618
7180,288.7186618
7181,288.7186618
7182,288.7186618
7183,288.7186618
7184,288.7186618
7185,288.7186618
7186,288.7186618
7187,288.7186618
7188,288.7186618
7189,288.7186618
7190,288.7186618
7191,288.7186618
7192,288.7186618
7193,288.7186618
7194,288.7186618
7195,288.7186618
7196,288.7186618
7197,288.7186618
7198,288.7186618
7199,288.7186618
7200,288.7186618
7201,288.7186618
7202,288.7186618
7203,288.7186618
7204,288.7186618
7205,288.7186618
7206,288.7186618
7207,288.7186618
7208,288.7186618
7209,288.7186618
7210,288.7186618
7211,288.7186618
7212,288.7186618
7213,288.7186618
7214,288.7186618
7215,288.7186618
7216,288.7186618
7217,288.7186618
7218,288.7186618
7219,288.7186618
7220,288.7186618
7221,288.7186618
7222,288.7186618
7223,288.7186618
7224,288.7186618
7225,288.7186618
7226,288.7186618
7227,288.7186618
7228,288.7186618
7229,288.7186618
7230,288.7186618
7231,288.7186618
7232,288.7186618
7233,288.7186618
7234,288.7186618
7235,288.7186618
7236,288.7186618
7237,288.7186618
7238,288.7186618
7239,288.7186618
7240,288.7186618
7241,288.7186618
7242,288.7186618
7243,288.7186618
7244,288.7186618
7245,288.7186618
7246,288.7186618
7247,288.7186618
7248,288.7186618
7249,288.7186618
7250,288.7186618
7251,288.7186618
7252,288.7186618
7253,288.7186618
7254,288.7186618
7255,288.7186618
7256,288.7186618
7257,288.7186618
7258,288.7186618
7259,288.7186618
7260,288.7186618
7261,288.7186618
7262,288.7186618
7263,288.7186618
7264,288.7186618
7265,288.7186618
7266,288.7186618
7267,288.7186618
7268,288.7186618
7269,288.7186618
7270,288.7186618
7271,288.7186618
7272,288.7186618
7273,288.7186618
7274,288.7186618
7275,288.7186618
7276,288.7186618
7277,288.7186618
7278,288.7186618
7279,288.7186618
7280,288.7186618
7281,288.7186618
7282,288.7186618
7283,288.7186618
7284,288.7186618
7285,288.7186618
7286,288.7186618
7287,288.7186618
7288,288.7186618
7289,288.7186618
7290,288.7186618
7291,288.7186618
7292,288.7186618
7293,288.7186618
7294,288.7186618
7295,288.7186618
7296,288.7186618
7297,323.4343925
7298,323.4343925
7299,323.4343925
7300,323.4343925
7301,323.4343925
7302,323.4343925
7303,323.4343925
7304,323.4343925
7305,323.4343925
7306,323.4343925
7307,323.4343925
7308,323.4343925
7309,323.4343925
7310,323.4343925
7311,323.4343925
7312,323.4343925
7313,323.4343925
7314,323.4343925
7315,323.4343925
7316,323.4343925
7317,323.4343925
7318,323.4343925
7319,323.4343925
7320,323.4343925
7321,323.4343925
7322,323.4343925
7323,323.4343925
7324,323.4343925
7325,323.4343925
7326,323.4343925
7327,323.4343925
7328,323.4343925
7329,323.4343925
7330,323.4343925
7331,323.4343925
7332,323.4343925
7333,323.4343925
7334,323.4343925
7335,323.4343925
7336,323.4343925
7337,323.4343925
7338,323.4343925
7339,323.4343925
7340,323.4343925
7341,323.4343925
7342,323.4343925
7343,323.4343925
7344,323.4343925
7345,323.4343925
7346,323.4343925
7347,323.4343925
7348,323.4343925
7349,323.4343925
7350,323.4343925
7351,323.4343925
7352,323.4343925
7353,323.4343925
7354,323.4343925
7355,323.4343925
7356,323.4343925
7357,323.4343925
7358,323.4343925
7359,323.4343925
7360,323.4343925
7361,323.4343925
7362,323.4343925
7363,323.4343925
7364,323.4343925
7365,323.4343925
7366,323.4343925
7367,323.4343925
7368,323.4343925
7369,323.4343925
7370,323.4343925
7371,323.4343925
7372,323.4343925
7373,323.4343925
7374,323.4343925
7375,323.4343925
7376,323.4343925
7377,323.4343925
7378,323.4343925
7379,323.4343925
7380,323.4343925
7381,323.4343925
7382,323.4343925
7383,323.4343925
7384,323.4343925
7385,323.4343925
7386,323.4343925
7387,323.4343925
7388,323.4343925
7389,323.4343925
7390,323.4343925
7391,323.4343925
7392,323.4343925
7393,323.4343925
7394,323.4343925
7395,323.4343925
7396,323.4343925
7397,323.4343925
7398,323.4343925
7399,323.4343925
7400,323.4343925
7401,323.4343925
7402,323.4343925
7403,323.4343925
7404,323.4343925
7405,323.4343925
7406,323.4343925
7407,323.4343925
